ROUTE_SHORT_NAME,ROUTE_TYPE
382,BUS
68,BUS
80,BUS
82,BUS
N80,BUS
461,BUS
398,BUS
15,BUS
463,BUS
202,BUS
N92,BUS
901,FERRY
612,BUS
391,BUS
320,BUS
394,BUS
395,BUS
602,BUS
247,BUS
65,BUS
907,FERRY
17,TRAM
905,FERRY
41,BUS
231,BUS
909,FERRY
40,BUS
69,BUS
906,FERRY
2,TRAM
13,TRAM
48,BUS
47,BUS
44,BUS
913,FERRY
245,BUS
24,TRAM
357,BUS
356,BUS
171,BUS
346,BUS
N47,BUS
255,BUS
N57,BUS
194,BUS
195,BUS
358,BUS
348,BUS
271,BUS
300,BUS
341,BUS
N30,BUS
N95,BUS
N97,BUS
242,BUS
N23,BUS
N22,BUS
N21,BUS
35,BUS
327,BUS
34,BUS
126,BUS
120,BUS
322,BUS
903,FERRY
319,BUS
316,BUS
305,BUS
312,BUS
125,BUS
306,BUS
304,BUS
301,BUS
307,BUS
315,BUS
308,BUS
N26,BUS
4,TRAM
309,BUS
302,BUS
611,BUS
915,FERRY
26,TRAM
63,BUS
N01,BUS
5,TRAM
249,BUS
240,BUS
21,BUS
18,BUS
54,SUBWAY
267,BUS
22,BUS
19,TRAM
1,TRAM
N10,BUS
N14,BUS
288,BUS
38,BUS
37,BUS
283,BUS
7,TRAM
900,FERRY
289,BUS
282,BUS
248,BUS
36,BUS
291,BUS
293,BUS
3,TRAM
14,TRAM
12,TRAM
11,TRAM
284,BUS
287,BUS
285,BUS
281,BUS
N04,BUS
314,BUS
392,BUS
609,BUS
209,BUS
73,BUS
902,FERRY
49,BUS
246,BUS
66,BUS
62,BUS
61,BUS
323,BUS
328,BUS
51,SUBWAY
53,SUBWAY
465,BUS
N94,BUS
50,SUBWAY
464,BUS
52,SUBWAY
N69,BUS
347,BUS
397,BUS
30,BUS
31,BUS
